caine.png        /imagine prompt: A cute dog, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
masina_de_pompieri.png /imagine prompt: A cute fire truck, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
masina_de_politie.png /imagine prompt: A cute police car, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
taxi.png /imagine prompt: A cute taxi cab, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
tractor.png /imagine prompt: A cute tractor, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
casa.png /imagine prompt: A cute house, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
bloc.png /imagine prompt: A cute apartment building, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
scoala.png /imagine prompt: A cute school building, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
spital.png /imagine prompt: A cute hospital building, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
magazin.png /imagine prompt: A cute shop, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
biserica.png /imagine prompt: A cute church, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
castel.png /imagine prompt: A cute castle, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pod.png /imagine prompt: A cute bridge, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
far.png /imagine prompt: A cute lighthouse, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cort.png /imagine prompt: A cute tent, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
iglu.png /imagine prompt: A cute igloo, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ferma.png /imagine prompt: A cute farm barn, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
fabrica.png /imagine prompt: A cute factory, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
piramida.png /imagine prompt: A cute pyramid, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
stadion.png /imagine prompt: A cute stadium, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
inima.png /imagine prompt: A cute red heart shape, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cadou.png /imagine prompt: A cute gift box, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
inel.png /imagine prompt: A cute diamond ring, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
coroana.png /imagine prompt: A cute golden crown, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
diamant.png /imagine prompt: A cute diamond gem, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ban.png /imagine prompt: A cute gold coin, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
bec.png /imagine prompt: A cute light bulb, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
bomba.png /imagine prompt: A cute cartoon bomb, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pistol_cu_apa.png /imagine prompt: A cute water pistol, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
scut.png /imagine prompt: A cute shield, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
sabie.png /imagine prompt: A cute toy sword, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ochelari_de_soare.png /imagine prompt: A cute pair of sunglasses, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
microfon.png /imagine prompt: A cute microphone, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
chitara.png /imagine prompt: A cute guitar, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pian.png /imagine prompt: A cute piano keyboard, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
minge_de_fotbal.png /imagine prompt: A cute soccer ball, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
minge_de_baschet.png /imagine prompt: A cute basketball, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
trofeu.png /imagine prompt: A cute gold trophy, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
medalie.png /imagine prompt: A cute gold medal, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
tinta.png /imagine prompt: A cute target with an arrow, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
paleta_de_culori.png /imagine prompt: A cute artist palette, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
lupa.png /imagine prompt: A cute magnifying glass, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
baterie.png /imagine prompt: A cute battery, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
priza.png /imagine prompt: A cute electrical outlet, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
magnet.png /imagine prompt: A cute magnet, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
lumanare.png /imagine prompt: A cute candle, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
calendar.png /imagine prompt: A cute calendar, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
plic.png /imagine prompt: A cute envelope, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
semn_de_intrebare.png /imagine prompt: A cute question mark, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
semn_de_exclamare.png /imagine prompt: A cute exclamation mark, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
glob_pamantesc.png /imagine prompt: A cute globe, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
harta.png /imagine prompt: A cute treasure map, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
steag.png /imagine prompt: A cute flag on a pole, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ochi.png /imagine prompt: A cute cartoon eye, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
creier.png /imagine prompt: A cute cartoon brain, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
os.png /imagine prompt: A cute bone, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
dinte.png /imagine prompt: A cute smiling tooth, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
picatura.png /imagine prompt: A cute water drop, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
idee.png /imagine prompt: A cute idea lightbulb, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
timp.png /imagine prompt: A cute hourglass, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
